HPF_ID,teff,std teff,logg,std logg,feh,std feh,vsini,std vsini,max_period_1_gls,max_period_1_gls_fap
113,3080.108,0.087438,5.04993,7.74E-05,-1.60E-01,7.88E-05,7.94E+00,0.527442,25.99170056,4.62E-22
114,3080.118,0.041255,5.049941,2.50E-05,-1.60E-01,7.25E-05,6.79E+00,0.51753,0.413435692,5.50E-05
115,3080.168,1.24E-01,5.05E+00,7.42E-05,-1.60E-01,1.28E-04,6.11E+00,1.71E+00,0.367524894,6.41E-09
116,3292.525,3.390307,4.92769,5.49E-03,-1.17E-01,1.48E-03,1.00E+00,0.20292,2.721482819,1
117,3320.182,2.739199,4.889771,2.04E-03,-9.25E-02,1.15E-02,4.61E-01,0.257529,4.890776853,1
118,3405.003,0.017225,4.850002,9.71E-06,-1.00E-01,3.97E-05,3.01E-01,0.133465,4.739666653,1.00E+00
119,3407.007,2.87E-02,4.90E+00,1.71E-05,-4.90E-01,9.54E-05,3.07E-01,8.39E-02,3.429297403,0.6357932
120,3416.015,0.020571,4.829994,8.08E-06,0.039999,2.77E-05,0.305801,0.028191,13.29030547,1.00E+00
121,3447.991,0.007605,4.879994,9.34E-06,-2.00E-02,2.81E-05,3.46E-01,0.104207,0.165521052,1.00E+00
122,3080.046,4.06E-02,5.05E+00,3.09E-05,-1.60E-01,4.58E-05,0.252196,0.250059,,
123,3080.051,1.43E+00,5.05E+00,2.18E-04,-1.60E-01,1.47E-03,0.119551,1.46E-01,,
124,3080.059,0.036655,5.049975,3.01E-05,-1.60E-01,4.07E-05,2.91E-01,0.120618,,
125,3080.06,0.044116,5.05E+00,3.61E-05,-1.60E-01,7.86E-05,2.59E-01,1.76E-01,,
126,3080.063,1.26E-01,5.05E+00,1.41E-04,-1.60E-01,2.05E-04,2.53E-01,2.31E-01,,
127,3080.066,0.093401,5.049969,8.49E-05,-1.60E-01,1.11E-04,2.13E-01,0.040725,,
128,3080.067,0.044753,5.049985,4.31E-05,-1.60E-01,6.35E-05,2.92E-01,1.53E-01,,
129,3080.068,0.031741,5.049983,2.05E-05,-1.60E-01,2.73E-05,3.06E-01,0.02609,,
130,3080.072,3.41E-02,5.05E+00,1.92E-05,-0.16001,4.01E-05,2.69E-01,1.10E-01,,
131,3080.072,0.032512,5.05E+00,3.00E-05,-1.60E-01,4.70E-05,0.262984,1.17E-01,,
132,3080.072,0.038871,5.049972,2.02E-05,-1.60E-01,2.60E-05,1.07E+01,0.343332,,
133,3080.074,0.043628,5.049991,2.28E-05,-1.60E-01,5.13E-05,1.72E-01,0.081587,,
134,3080.076,0.337393,5.05E+00,3.47E-04,-1.60E-01,5.17E-04,0.288028,1.01E-01,,
135,3080.077,0.039335,5.049986,2.17E-05,-0.16004,5.09E-05,0.295392,0.038816,,
136,3080.08,4.94E-02,5.05E+00,1.19E-05,-0.16004,4.55E-05,4.98E+00,2.91E-01,,
137,3080.08,8.17E-02,5.05E+00,3.45E-05,-1.60E-01,7.44E-05,2.42E-01,0.110115,,
138,3080.084,1.22E-01,5.05E+00,5.63E-05,-1.60E-01,2.90E-05,1.46E+00,0.760999,,
139,3080.092,5.14E-02,5.05E+00,3.33E-05,-0.16004,4.83E-05,1.11E+01,3.80E-01,,
140,3.08E+03,4.38E-02,5.05E+00,4.47E-05,-1.60E-01,8.70E-05,2.22E-01,9.96E-02,,
141,3080.114,3.60E+00,5.05E+00,5.44E-04,-1.60E-01,3.68E-03,2.00E-01,1.06E-01,,
142,3080.151,0.058278,5.049993,4.42E-05,-1.60E-01,0.000103,2.75E-01,0.166098,,
143,3080.161,0.110514,5.049938,6.64E-05,-1.60E-01,4.63E-05,2.76E-01,0.049654,,
144,3218.045,0.015652,5.069949,1.51E-05,-3.00E-01,1.49E-05,2.56E-01,0.141736,,
145,3284.016,0.021701,4.939972,4.83E-05,-1.20E-01,9.57E-05,3.26E-01,0.123529,,
