HPF_ID,teff,std teff,logg,std logg,feh,std feh,vsini,std vsini,max_period_1_gls,max_period_1_gls_fap,,,,,,,,,
28,3311.026,15.47035,4.894292,2.88E-02,-2.22E-02,5.73E-02,4.31E-01,0.477616,5.012754278,1,,,,,,,,,
29,3315.281,16.79885,4.828984,0.021362,9.64E-02,0.059462,7.26E-01,0.208621,13.587577,0.0004161,,,,,,,,,
30,3319.736,70.9808,4.954199,9.84E-02,-1.76E-01,1.30E-01,7.27E+00,1.025384,4.610022366,4.30E-19,,,,,,,,,
31,3324.978,2.82E+01,4.83E+00,0.057537,-0.01604,7.84E-02,8.15E+00,9.01E-01,0.900380299,1.95E-69,,,,,,,,,
32,3338.603,6.89E+00,4.88E+00,1.23E-02,-3.28E-02,3.30E-02,6.23E-01,0.254717,4.598872868,1.00E+00,,,,,,,,,
33,3338.827,18.10199,4.894329,0.027684,-0.08846,0.053765,0.969227,0.323422,7.866504399,1,,,,,,,,,
34,3345.619,54.47503,4.892492,5.23E-02,-0.19147,1.46E-01,1.878878,0.479997,5.111594242,3.15E-14,,,,,,,,,
35,3354.962,5.43E+01,4.82E+00,1.29E-02,1.22E-01,6.91E-02,1.89E+00,2.44E-01,0.59644552,1,,,,,,,,,
36,3368.652,7.51E+01,4.94E+00,4.10E-02,-0.12355,7.59E-02,5.23E+00,8.62E-01,5.26359294,0.0002943,,,,,,,,,
37,3372.989,7.38E+01,4.85E+00,0.035565,-7.59E-02,4.72E-02,1.33E+00,1.97E-01,11.95706053,1.00E+00,,,,,,,,,
38,3374.503,32.94598,4.88E+00,1.30E-02,-6.78E-02,1.75E-02,1.00E+00,0.739769,12.45528935,1.77E-30,,,,,,,,,
39,3384.591,3.54E+01,4.86E+00,2.32E-02,1.83E-02,7.47E-02,1.11E+00,2.00E-01,13.24246959,1,,,,,,,,,
40,3444.646,24.94408,4.817319,0.012558,1.52E-02,0.033464,1.63E+00,0.296624,5.279388741,1,,,,,,,,,
41,3471.41,63.5857,4.802752,0.022167,-0.01715,0.093491,1.361302,0.410078,11.54867872,1,,,,,,,,,
42,3525.33,6.49E+01,4.83E+00,4.71E-02,-2.26E-01,1.30E-01,2.20E+00,1.459726,5.244332015,1.00E+00,,,,,,,,,
43,3080.061,17.36417,5.049998,0.017159,-0.16004,0.030756,0.300494,0.023467,,,,,,,,,,,
44,3080.096,13.47622,5.049998,1.12E-02,-1.60E-01,1.35E-02,2.64E-01,3.76E-02,,,,,,,,,,,
45,3080.105,11.85229,5.049987,1.05E-02,-0.16,2.05E-02,0.266967,0.099236,,,,,,,,,,,
46,3080.125,1.30E+01,5.05E+00,1.02E-02,-0.16003,2.02E-02,5.67E-02,1.39E-01,,,,,,,,,,,
47,3080.134,17.33021,5.049993,0.016642,-1.60E-01,0.012311,1.50E+01,3.87E-01,,,,,,,,,,,
48,3080.147,1.38E+01,5.05E+00,1.32E-02,-1.60E-01,9.64E-03,6.26E+00,1.90E+00,,,,,,,,,,,
49,3080.249,7.461315,5.049986,0.006358,-1.60E-01,0.012259,2.46E-01,1.03E-01,,,,,,,,,,,
50,3080.781,16.51577,5.05,1.53E-02,-1.60E-01,2.85E-02,2.80E-01,5.99E-02,,,,,,,,,,,
51,3086.213,1.42E+01,5.05E+00,4.99E-03,-1.60E-01,1.15E-02,9.96E+00,0.213642,,,,,,,,,,,
52,3.09E+03,1.87E+01,5.05E+00,1.20E-02,-1.60E-01,2.84E-02,2.98E-01,5.28E-02,,,,,,,,,,,
53,3096.271,21.13796,5.04999,0.017896,-1.60E-01,0.028933,5.63E+00,0.61673,,,,,,,,,,,
54,3105.719,36.36087,5.025515,0.034651,-0.14212,0.025342,18.61925,0.787629,,,,,,,,,,,
55,3118.31,25.84714,5.051707,0.037696,-0.17199,0.071378,0.146098,0.091647,,,,,,,,,,,
56,3138.17,4.40E+01,5.03E+00,4.02E-02,-1.49E-01,3.44E-02,1.38E+01,1.01E+00,,,,,,,,,,,
57,3142.879,25.66679,5.052715,4.40E-02,-1.87E-01,8.50E-02,2.13E-01,1.10E-01,,,,,,,,,,,
58,3156.331,23.16269,5.057696,0.041192,-2.16E-01,0.075137,2.29E-01,4.24E-02,,,,,,,,,,,
59,3167.48,12.05805,5.060577,0.013139,-2.34E-01,0.018584,6.41E-01,0.265758,,,,,,,,,,,
60,3170.562,2.52E+01,5.06E+00,5.74E-02,-2.13E-01,1.11E-01,2.00E-01,7.99E-02,,,,,,,,,,,
61,3173.747,34.43737,4.999065,4.23E-02,-0.1432,6.86E-02,8.840063,0.469956,,,,,,,,,,,
62,3183.328,20.63383,5.0623,0.039242,-0.24611,0.068637,0.219595,0.112233,,,,,,,,,,,
63,3184.437,36.39359,5.05586,0.033999,-0.24693,0.039799,0.295569,1.47E-01,,,,,,,,,,,
64,3187.431,6.44E+01,4.98E+00,2.61E-02,-1.59E-01,5.13E-02,3.453638,6.25E-01,,,,,,,,,,,
65,3191.077,14.45218,5.007004,4.72E-02,-1.73E-01,6.33E-02,1.87E+01,1.19E+00,,,,,,,,,,,
66,3196.662,73.73843,5.02159,0.06692,-1.60E-01,0.098517,2.35E-01,0.080624,,,,,,,,,,,
67,3215.632,20.88897,4.944027,3.71E-02,-1.08E-01,5.87E-02,1.26E+01,1.950033,,,,,,,,,,,
68,3.22E+03,3.54E+01,5.00E+00,6.00E-02,-1.83E-01,1.16E-01,2.44E-01,6.08E-02,,,,,,,,,,,
69,3230.97,23.23011,5.046419,3.62E-02,-2.74E-01,5.26E-02,2.58E-01,0.109605,,,,,,,,,,,
70,3.24E+03,2.07E+01,5.03E+00,4.26E-02,-2.48E-01,6.12E-02,1.74E+00,7.41E-01,,,,,,,,,,,
71,3252.112,1.54E+01,5.03E+00,3.36E-02,-2.72E-01,5.78E-02,1.86E+00,0.478533,,,,,,,,,,,
72,3.26E+03,2.52E+01,4.98E+00,4.30E-02,-1.80E-01,7.86E-02,4.97E+00,1.340646,,,,,,,,,,,
73,3262.772,8.772235,4.977519,0.016154,-1.80E-01,0.032141,1.44E+00,0.223375,,,,,,,,,,,
74,3.28E+03,6.22E+00,4.93E+00,2.34E-02,-3.40E-02,6.27E-02,1.14E+00,4.19E-01,,,,,,,,,,,
75,3286.796,12.48544,4.922255,1.76E-02,-9.40E-02,2.54E-02,1.368882,0.45325,,,,,,,,,,,
76,3297.853,1.59E+01,4.97E+00,2.14E-02,-1.87E-01,5.91E-02,2.29E+00,4.40E-01,,,,,,,,,,,
77,3318.586,7.10E+01,4.92E+00,6.77E-02,-1.02E-01,8.95E-02,5.42E+00,6.70E-01,,,,,,,,,,,
78,3.37E+03,37.58703,4.8526,0.052576,-1.55E-01,0.03867,5.65E+00,5.13E-01,,,,,,,,,,,
79,3382.523,48.23122,4.924647,0.035909,-0.07542,0.085296,1.710162,0.493924,,,,,,,,,,,
80,3399.864,17.881776,4.872564,6.31E-03,-6.91E-02,9.28E-03,1.19E+00,3.12E-01,,,,,,,,,,,
81,3429.945,1.87E+01,4.87E+00,8.40E-03,-5.83E-02,2.39E-02,1.84E+00,2.89E-01,,,,,,,,,,,
82,3521.193,3.01E+01,4.848975,1.75E-02,-3.87E-01,3.40E-02,1.62E+00,3.16E-01,,,,,,,,,,,
83,3.64E+03,58.14328,4.794,1.91E-02,-3.07E-01,8.90E-02,1.64E+00,3.88E-01,,,,,,,,,,,
84,,,,,,,,,2.605512348,1,,,,,,,,,
85,,,,,,,,,5.18345966,0.0005643,,,,,,,,,
86,,,,,,,,,0.300126329,1,,,,,,,,,
87,,,,,,,,,2.440871177,0.3103443,,,,,,,,,
88,,,,,,,,,6.12660115,1,,,,,,,,,
89,,,,,,,,,3.908031717,1,,,,,,,,,
90,,,,,,,,,0.907170083,0.6278976,,,,,,,,,
91,,,,,,,,,4.529193516,0.5906456,,,,,,,,,
92,,,,,,,,,1.063215059,4.25E-07,,,,,,,,,
93,,,,,,,,,1.149166835,1,,,,,,,,,
94,,,,,,,,,13.06921411,0.9999689,,,,,,,,,
95,,,,,,,,,0.560512969,8.35E-10,,,,,,,,,
96,,,,,,,,,0.51188063,5.90E-78,,,,,,,,,
97,,,,,,,,,0.493418239,2.55E-113,,,,,,,,,
98,,,,,,,,,0.426340211,0.5242667,,,,,,,,,
